Gene	Num_sgRNAs	RRA_Score_Neg	PValue_Neg	FDR_Neg	Rank_Neg	neg|goodsgrna	LFC_Neg	RRA_Score_Pos	PValue_Pos	FDR_Pos	Rank_Pos	pos|goodsgrna	LFC_Pos	FDR	Direction	logFC	RRA_Score	Significance
WNT5A	6	1.6886e-05	6.3985e-05	0.001692	34	6	-1.7897	0.99998	0.99999	0.999995	867	0	-1.7897	0.001692	depleted	-1.7897	1.6886e-05	significant
RPL3	6	1.8238e-05	7.3828e-05	0.001794	35	6	-1.4542	0.99998	0.99999	0.999995	866	0	-1.4542	0.001794	depleted	-1.4542	1.8238e-05	significant
PSMA2	6	1.8708e-05	7.3828e-05	0.001794	36	6	-1.2975	0.99998	0.99999	0.999995	865	0	-1.2975	0.001794	depleted	-1.2975	1.8708e-05	significant
KLK11	6	1.9678e-05	7.3828e-05	0.001794	37	6	-1.3813	0.99998	0.99999	0.999995	864	0	-1.3813	0.001794	depleted	-1.3813	1.9678e-05	significant
DSC3	6	2.0179e-05	8.3672e-05	0.001835	38	6	-1.3923	0.99998	0.99999	0.999995	863	0	-1.3923	0.001835	depleted	-1.3923	2.0179e-05	significant
KRT6	6	2.0691e-05	8.3672e-05	0.001835	39	6	-1.3947	0.99998	0.99999	0.999995	862	0	-1.3947	0.001835	depleted	-1.3947	2.0691e-05	significant
RPS3	6	2.095e-05	8.3672e-05	0.001835	40	6	-1.3664	0.99998	0.99999	0.999995	861	0	-1.3664	0.001835	depleted	-1.3664	2.095e-05	significant
MAML1	6	2.1213e-05	8.3672e-05	0.001835	41	6	-1.6795	0.99998	0.99999	0.999995	860	0	-1.6795	0.001835	depleted	-1.6795	2.1213e-05	significant
CLDN1	6	2.3991e-05	0.0001132	0.002423	42	6	-1.3123	0.99998	0.99998	0.999995	859	0	-1.3123	0.002423	depleted	-1.3123	2.3991e-05	significant
KLK9	6	2.7391e-05	0.00012305	0.002573	43	6	-1.3342	0.99997	0.99998	0.999995	858	0	-1.3342	0.002573	depleted	-1.3342	2.7391e-05	significant
CDSN	6	3.229e-05	0.00015258	0.003032	44	6	-1.2573	0.99997	0.99996	0.999995	856	0	-1.2573	0.003032	depleted	-1.2573	3.229e-05	significant
RPL4	6	3.5001e-05	0.00016242	0.003032	45	6	-1.3543	0.99996	0.99996	0.999995	855	0	-1.3543	0.003032	depleted	-1.3543	3.5001e-05	significant
TGM3	6	3.5404e-05	0.00016242	0.003032	46	6	-1.3648	0.99996	0.99996	0.999995	854	0	-1.3648	0.003032	depleted	-1.3648	3.5404e-05	significant
KRT3	6	3.7052e-05	0.00016242	0.003032	47	6	-1.3351	0.99996	0.99996	0.999995	853	0	-1.3351	0.003032	depleted	-1.3351	3.7052e-05	significant
KLK6	6	3.7474e-05	0.00016242	0.003032	48	6	-1.2503	0.99996	0.99996	0.999995	852	0	-1.2503	0.003032	depleted	-1.2503	3.7474e-05	significant
GAPDH	6	3.7899e-05	0.00017227	0.003032	49	6	-1.3817	0.99996	0.99996	0.999995	851	0	-1.3817	0.003032	depleted	-1.3817	3.7899e-05	significant
KRT12	6	3.9643e-05	0.00017227	0.003032	50	6	-1.219	0.99996	0.99995	0.999995	850	0	-1.219	0.003032	depleted	-1.219	3.9643e-05	significant
KLK14	6	4.1453e-05	0.00018211	0.003032	51	6	-1.4106	0.99996	0.99995	0.999995	849	0	-1.4106	0.003032	depleted	-1.4106	4.1453e-05	significant
DSG1	6	4.1917e-05	0.00018211	0.003032	52	6	-1.212	0.99996	0.99995	0.999995	848	0	-1.212	0.003032	depleted	-1.212	4.1917e-05	significant
SPRR3A	6	4.2384e-05	0.00018211	0.003032	53	6	-1.2491	0.99996	0.99995	0.999995	847	0	-1.2491	0.003032	depleted	-1.2491	4.2384e-05	significant
GRHL3	6	4.3332e-05	0.00018211	0.003032	54	6	-1.4192	0.99996	0.99995	0.999995	846	0	-1.4192	0.003032	depleted	-1.4192	4.3332e-05	significant
DSC2	6	4.3813e-05	0.00019195	0.003138	55	6	-1.3559	0.99996	0.99995	0.999995	845	0	-1.3559	0.003138	depleted	-1.3559	4.3813e-05	significant
SPRR1A	6	4.578e-05	0.0002018	0.00324	56	6	-1.244	0.99995	0.99995	0.999995	844	0	-1.244	0.00324	depleted	-1.244	4.578e-05	significant
TGM1	6	4.679e-05	0.00021164	0.003338	57	6	-1.2866	0.99995	0.99995	0.999995	843	0	-1.2866	0.003338	depleted	-1.2866	4.679e-05	significant
PGK1	6	4.9935e-05	0.00023133	0.003586	58	6	-1.3015	0.99995	0.99995	0.999995	842	0	-1.3015	0.003586	depleted	-1.3015	4.9935e-05	significant
KRT9	6	5.1021e-05	0.00024117	0.003675	59	6	-1.3353	0.99995	0.99995	0.999995	841	0	-1.3353	0.003675	depleted	-1.3353	5.1021e-05	significant
PSMD1	6	5.2127e-05	0.00025102	0.003761	60	6	-1.3371	0.99995	0.99995	0.999995	840	0	-1.3371	0.003761	depleted	-1.3371	5.2127e-05	significant
RPL5	6	5.3824e-05	0.00026086	0.003782	61	6	-1.3775	0.99995	0.99994	0.999995	839	0	-1.3775	0.003782	depleted	-1.3775	5.3824e-05	significant
KRT10	6	5.44e-05	0.00026086	0.003782	62	6	-1.3051	0.99995	0.99994	0.999995	838	0	-1.3051	0.003782	depleted	-1.3051	5.44e-05	significant
KLK10	6	5.498e-05	0.0002707	0.003803	63	6	-1.2326	0.99995	0.99994	0.999995	837	0	-1.2326	0.003803	depleted	-1.2326	5.498e-05	significant
FLG	6	5.5566e-05	0.0002707	0.003803	64	6	-1.4503	0.99994	0.99994	0.999995	836	0	-1.4503	0.003803	depleted	-1.4503	5.5566e-05	significant
WNT3A	6	5.7355e-05	0.00028055	0.00388	65	6	-1.5863	0.99994	0.99994	0.999995	835	0	-1.5863	0.00388	depleted	-1.5863	5.7355e-05	significant
ENO1	6	5.8575e-05	0.00029039	0.003955	66	6	-1.2609	0.99994	0.99994	0.999995	834	0	-1.2609	0.003955	depleted	-1.2609	5.8575e-05	significant
LDHA	6	5.9815e-05	0.00030024	0.004029	67	6	-1.3084	0.99994	0.99994	0.999995	833	0	-1.3084	0.004029	depleted	-1.3084	5.9815e-05	significant
IVL	6	6.1078e-05	0.00031008	0.00404	68	6	-1.3584	0.99994	0.99993	0.999995	832	0	-1.3584	0.00404	depleted	-1.3584	6.1078e-05	significant
KRT8	6	6.2363e-05	0.00031008	0.00404	69	6	-1.3398	0.99994	0.99992	0.999995	831	0	-1.3398	0.00404	depleted	-1.3398	6.2363e-05	significant
KRT20	6	6.4332e-05	0.00031992	0.004109	70	6	-1.2095	0.99994	0.9999	0.999995	830	0	-1.2095	0.004109	depleted	-1.2095	6.4332e-05	significant
KLK7	6	6.5e-05	0.00032977	0.004175	71	6	-1.1955	0.99994	0.9999	0.999995	829	0	-1.1955	0.004175	depleted	-1.1955	6.5e-05	significant
TUBB	6	6.6352e-05	0.00033961	0.004182	72	6	-1.3415	0.99993	0.99989	0.999995	828	0	-1.3415	0.004182	depleted	-1.3415	6.6352e-05	significant
RPS4	6	6.7038e-05	0.00033961	0.004182	73	6	-1.2282	0.99993	0.99989	0.999995	827	0	-1.2282	0.004182	depleted	-1.2282	6.7038e-05	significant
KRT11	6	6.8426e-05	0.00034945	0.004189	74	6	-1.1853	0.99993	0.99989	0.999995	826	0	-1.1853	0.004189	depleted	-1.1853	6.8426e-05	significant
POLR2A	6	7.2001e-05	0.00034945	0.004189	75	6	-1.3251	0.99993	0.99988	0.999995	825	0	-1.3251	0.004189	depleted	-1.3251	7.2001e-05	significant
KRT15	6	7.3474e-05	0.0003593	0.00425	76	6	-1.4017	0.99993	0.99988	0.999995	824	0	-1.4017	0.00425	depleted	-1.4017	7.3474e-05	significant
KRT2	6	7.8045e-05	0.00037899	0.004425	77	6	-1.3523	0.99992	0.99988	0.999995	823	0	-1.3523	0.004425	depleted	-1.3523	7.8045e-05	significant
DSG4	6	8.0418e-05	0.00039867	0.004595	78	6	-1.274	0.99992	0.99988	0.999995	822	0	-1.274	0.004595	depleted	-1.274	8.0418e-05	significant
KRT4	6	8.1222e-05	0.00040852	0.004649	79	6	-1.2318	0.99992	0.99988	0.999995	821	0	-1.2318	0.004649	depleted	-1.2318	8.1222e-05	significant
KRT13	6	8.2033e-05	0.0004282	0.00471	80	6	-1.2753	0.99992	0.99987	0.999995	820	0	-1.2753	0.00471	depleted	-1.2753	8.2033e-05	significant
KLK5	6	8.2851e-05	0.00043805	0.00471	81	6	-1.2581	0.99992	0.99987	0.999995	819	0	-1.2581	0.00471	depleted	-1.2581	8.2851e-05	significant
PSMB1	6	8.5344e-05	0.00044789	0.00471	82	6	-1.2732	0.99991	0.99987	0.999995	818	0	-1.2732	0.00471	depleted	-1.2732	8.5344e-05	significant
SPRR2A	6	8.7041e-05	0.00045774	0.00471	83	6	-1.4356	0.99991	0.99987	0.999995	817	0	-1.4356	0.00471	depleted	-1.4356	8.7041e-05	significant
PKM	6	8.79e-05	0.00045774	0.00471	84	6	-1.2936	0.99991	0.99987	0.999995	816	0	-1.2936	0.00471	depleted	-1.2936	8.79e-05	significant
PSMC1	6	8.9639e-05	0.00045774	0.00471	85	6	-1.1494	0.99991	0.99987	0.999995	815	0	-1.1494	0.00471	depleted	-1.1494	8.9639e-05	significant
OCLN	6	9.052e-05	0.00045774	0.00471	86	6	-1.2625	0.99991	0.99987	0.999995	814	0	-1.2625	0.00471	depleted	-1.2625	9.052e-05	significant
ACTB	6	9.1407e-05	0.00046758	0.00471	87	6	-1.3065	0.99991	0.99987	0.999995	813	0	-1.3065	0.00471	depleted	-1.3065	9.1407e-05	significant
KLK8	6	9.2302e-05	0.00046758	0.00471	88	6	-1.2718	0.99991	0.99987	0.999995	812	0	-1.2718	0.00471	depleted	-1.2718	9.2302e-05	significant
KLK13	6	9.3204e-05	0.00047742	0.00471	89	6	-1.3069	0.99991	0.99987	0.999995	811	0	-1.3069	0.00471	depleted	-1.3069	9.3204e-05	significant
HSP90AA1	6	9.4113e-05	0.00047742	0.00471	90	6	-1.1473	0.99991	0.99987	0.999995	810	0	-1.1473	0.00471	depleted	-1.1473	9.4113e-05	significant
RPS5	6	9.503e-05	0.00047742	0.00471	91	6	-1.1332	0.9999	0.99986	0.999995	809	0	-1.1332	0.00471	depleted	-1.1332	9.503e-05	significant
KRT5	6	9.5954e-05	0.00048727	0.00471	92	6	-1.246	0.9999	0.99986	0.999995	808	0	-1.246	0.00471	depleted	-1.246	9.5954e-05	significant
KRT16	6	9.6886e-05	0.00048727	0.00471	93	6	-1.0626	0.9999	0.99986	0.999995	807	0	-1.0626	0.00471	depleted	-1.0626	9.6886e-05	significant
TUBA1A	6	9.7825e-05	0.00049711	0.004754	94	6	-1.2366	0.9999	0.99986	0.999995	806	0	-1.2366	0.004754	depleted	-1.2366	9.7825e-05	significant
TP63	6	9.9726e-05	0.00050695	0.004797	95	6	-1.2358	0.9999	0.99986	0.999995	805	0	-1.2358	0.004797	depleted	-1.2358	9.9726e-05	significant
KRT18	6	0.00010069	0.0005168	0.00484	96	6	-1.2933	0.9999	0.99986	0.999995	804	0	-1.2933	0.00484	depleted	-1.2933	0.00010069	significant
UBA1	6	0.00010166	0.00053649	0.004972	97	6	-1.3051	0.9999	0.99986	0.999995	803	0	-1.3051	0.004972	depleted	-1.3051	0.00010166	significant
DSC1	6	0.00010263	0.00054633	0.005012	98	6	-1.2563	0.9999	0.99986	0.999995	802	0	-1.2563	0.005012	depleted	-1.2563	0.00010263	significant
KRT14	6	0.00010362	0.00055617	0.005051	99	6	-1.2521	0.9999	0.99985	0.999995	801	0	-1.2521	0.005051	depleted	-1.2521	0.00010362	significant
DSG2	6	0.00010461	0.00057586	0.005177	100	6	-1.1846	0.9999	0.99985	0.999995	800	0	-1.1846	0.005177	depleted	-1.1846	0.00010461	significant
KRT7	6	0.00010561	0.0005857	0.005198	101	6	-1.2555	0.99989	0.99985	0.999995	799	0	-1.2555	0.005198	depleted	-1.2555	0.00010561	significant
UBC	6	0.00010662	0.00059555	0.005198	102	6	-1.2384	0.99989	0.99985	0.999995	798	0	-1.2384	0.005198	depleted	-1.2384	0.00010662	significant
HSPA8	6	0.00010764	0.00059555	0.005198	103	6	-1.0512	0.99989	0.99985	0.999995	797	0	-1.0512	0.005198	depleted	-1.0512	0.00010764	significant
KRT19	6	0.00010867	0.00060539	0.005233	104	6	-1.2783	0.99989	0.99985	0.999995	796	0	-1.2783	0.005233	depleted	-1.2783	0.00010867	significant
DSG3	6	0.0001097	0.00062508	0.005301	105	6	-1.2115	0.99989	0.99985	0.999995	795	0	-1.2115	0.005301	depleted	-1.2115	0.0001097	significant
KLK12	6	0.00011074	0.00062508	0.005301	106	6	-1.2662	0.99989	0.99985	0.999995	794	0	-1.2662	0.005301	depleted	-1.2662	0.00011074	significant
NonTargeting_184	1	0.22155	0.22125	0.999995	107	1	-0.14985	0.77845	0.78035	0.949555	737	0	-0.14985	0.949555	enriched	-0.14985	0.77845	not_significant
NonTargeting_210	1	0.22328	0.22279	0.999995	108	1	-0.12659	0.77672	0.77875	0.949555	736	0	-0.12659	0.949555	enriched	-0.12659	0.77672	not_significant
NonTargeting_113	1	0.22431	0.22389	0.999995	109	1	-0.13141	0.77569	0.77747	0.949555	734	0	-0.13141	0.949555	enriched	-0.13141	0.77569	not_significant
NonTargeting_412	1	0.22569	0.22538	0.999995	110	0	-0.11618	0.77431	0.77602	0.949555	732	0	-0.11618	0.949555	enriched	-0.11618	0.77431	not_significant
NonTargeting_199	1	0.22638	0.22611	0.999995	111	0	-0.12985	0.77362	0.77538	0.949555	731	0	-0.12985	0.949555	enriched	-0.12985	0.77362	not_significant
NonTargeting_229	1	0.22707	0.22688	0.999995	112	0	-0.12797	0.77293	0.77474	0.949555	730	0	-0.12797	0.949555	enriched	-0.12797	0.77293	not_significant
NonTargeting_283	1	0.22741	0.22718	0.999995	113	0	-0.11886	0.77259	0.77435	0.949555	729	0	-0.11886	0.949555	enriched	-0.11886	0.77259	not_significant
NonTargeting_317	1	0.22776	0.22755	0.999995	114	0	-0.11776	0.77224	0.77404	0.949555	728	0	-0.11776	0.949555	enriched	-0.11776	0.77224	not_significant
NonTargeting_138	1	0.22879	0.22879	0.999995	115	0	-0.12834	0.77121	0.77291	0.949555	725	0	-0.12834	0.949555	enriched	-0.12834	0.77121	not_significant
NonTargeting_209	1	0.22914	0.22906	0.999995	116	0	-0.11095	0.77086	0.77264	0.949555	724	0	-0.11095	0.949555	enriched	-0.11095	0.77086	not_significant
NonTargeting_224	1	0.23017	0.23003	0.999995	117	0	-0.11513	0.76983	0.77156	0.949555	723	0	-0.11513	0.949555	enriched	-0.11513	0.76983	not_significant
NonTargeting_124	1	0.23155	0.23139	0.999995	118	0	-0.10589	0.76845	0.77022	0.949555	722	0	-0.10589	0.949555	enriched	-0.10589	0.76845	not_significant
NonTargeting_376	1	0.23224	0.23204	0.999995	119	0	-0.11464	0.76776	0.76956	0.949555	721	0	-0.11464	0.949555	enriched	-0.11464	0.76776	not_significant
NonTargeting_355	1	0.23259	0.2325	0.999995	120	0	-0.11351	0.76741	0.76919	0.949555	720	0	-0.11351	0.949555	enriched	-0.11351	0.76741	not_significant
NonTargeting_149	1	0.23328	0.23318	0.999995	121	0	-0.096178	0.76672	0.76859	0.949555	719	0	-0.096178	0.949555	enriched	-0.096178	0.76672	not_significant
NonTargeting_341	1	0.23362	0.23345	0.999995	122	0	-0.1054	0.76638	0.7682	0.949555	717	0	-0.1054	0.949555	enriched	-0.1054	0.76638	not_significant
NonTargeting_462	1	0.23397	0.23382	0.999995	123	0	-0.11596	0.76603	0.76776	0.949555	716	0	-0.11596	0.949555	enriched	-0.11596	0.76603	not_significant
NonTargeting_115	1	0.23431	0.23415	0.999995	124	0	-0.1048	0.76569	0.76737	0.949555	715	0	-0.1048	0.949555	enriched	-0.1048	0.76569	not_significant
NonTargeting_65	1	0.23466	0.23443	0.999995	125	0	-0.10248	0.76534	0.767	0.949555	714	0	-0.10248	0.949555	enriched	-0.10248	0.76534	not_significant
NonTargeting_194	1	0.23603	0.23586	0.999995	126	0	-0.098507	0.76397	0.76559	0.949555	712	0	-0.098507	0.949555	enriched	-0.098507	0.76397	not_significant
NonTargeting_205	1	0.23672	0.2367	0.999995	127	0	-0.10355	0.76328	0.76492	0.949555	711	0	-0.10355	0.949555	enriched	-0.10355	0.76328	not_significant
NonTargeting_328	1	0.23845	0.23831	0.999995	128	0	-0.098917	0.76155	0.76333	0.949555	709	0	-0.098917	0.949555	enriched	-0.098917	0.76155	not_significant
NonTargeting_395	1	0.23948	0.23933	0.999995	129	0	-0.10063	0.76052	0.76229	0.949555	708	0	-0.10063	0.949555	enriched	-0.10063	0.76052	not_significant
NonTargeting_276	1	0.24017	0.24006	0.999995	130	0	-0.091943	0.75983	0.76159	0.949555	707	0	-0.091943	0.949555	enriched	-0.091943	0.75983	not_significant
NonTargeting_120	1	0.24086	0.24069	0.999995	131	0	-0.092374	0.75914	0.76078	0.949555	706	0	-0.092374	0.949555	enriched	-0.092374	0.75914	not_significant
NonTargeting_482	1	0.24259	0.24254	0.999995	132	0	-0.095583	0.75741	0.75911	0.949555	704	0	-0.095583	0.949555	enriched	-0.095583	0.75741	not_significant
NonTargeting_455	1	0.24293	0.24285	0.999995	133	0	-0.093421	0.75707	0.75869	0.949555	703	0	-0.093421	0.949555	enriched	-0.093421	0.75707	not_significant
NonTargeting_429	1	0.24397	0.24394	0.999995	134	0	-0.091212	0.75603	0.75754	0.949555	702	0	-0.091212	0.949555	enriched	-0.091212	0.75603	not_significant
NonTargeting_369	1	0.24431	0.24439	0.999995	135	0	-0.089535	0.75569	0.75717	0.949555	701	0	-0.089535	0.949555	enriched	-0.089535	0.75569	not_significant
NonTargeting_309	1	0.24534	0.24539	0.999995	136	0	-0.079023	0.75466	0.75624	0.949555	700	0	-0.079023	0.949555	enriched	-0.079023	0.75466	not_significant
NonTargeting_299	1	0.24638	0.24631	0.999995	137	0	-0.080506	0.75362	0.75523	0.949555	699	0	-0.080506	0.949555	enriched	-0.080506	0.75362	not_significant
NonTargeting_489	1	0.24914	0.249	0.999995	138	0	-0.080385	0.75086	0.75221	0.949555	696	0	-0.080385	0.949555	enriched	-0.080385	0.75086	not_significant
NonTargeting_310	1	0.25017	0.25005	0.999995	139	0	-0.086283	0.74983	0.75115	0.949555	694	0	-0.086283	0.949555	enriched	-0.086283	0.74983	not_significant
NonTargeting_282	1	0.25121	0.25095	0.999995	140	0	-0.081479	0.74879	0.7501	0.949555	693	0	-0.081479	0.949555	enriched	-0.081479	0.74879	not_significant
NonTargeting_340	1	0.25328	0.25314	0.999995	141	0	-0.076778	0.74672	0.74813	0.949555	691	0	-0.076778	0.949555	enriched	-0.076778	0.74672	not_significant
NonTargeting_445	1	0.25741	0.25753	0.999995	142	0	-0.080127	0.74259	0.74417	0.949555	688	0	-0.080127	0.949555	enriched	-0.080127	0.74259	not_significant
NonTargeting_436	1	0.25879	0.25897	0.999995	143	0	-0.064826	0.74121	0.74273	0.949555	687	0	-0.064826	0.949555	enriched	-0.064826	0.74121	not_significant
NonTargeting_28	1	0.26362	0.26404	0.999995	144	0	-0.063334	0.73638	0.73764	0.949555	682	0	-0.063334	0.949555	enriched	-0.063334	0.73638	not_significant
NonTargeting_293	1	0.27121	0.27178	0.999995	145	0	-0.063297	0.72879	0.73032	0.949555	680	0	-0.063297	0.949555	enriched	-0.063297	0.72879	not_significant
NonTargeting_103	1	0.27155	0.27208	0.999995	146	0	-0.064939	0.72845	0.72997	0.949555	679	0	-0.064939	0.949555	enriched	-0.064939	0.72845	not_significant
NonTargeting_485	1	0.27293	0.27347	0.999995	147	0	-0.064487	0.72707	0.72862	0.949555	678	0	-0.064487	0.949555	enriched	-0.064487	0.72707	not_significant
NonTargeting_313	1	0.27328	0.27386	0.999995	148	0	-0.066233	0.72672	0.72818	0.949555	677	0	-0.066233	0.949555	enriched	-0.066233	0.72672	not_significant
NonTargeting_134	1	0.27362	0.27421	0.999995	149	0	-0.063116	0.72638	0.7279	0.949555	676	0	-0.063116	0.949555	enriched	-0.063116	0.72638	not_significant
NonTargeting_131	1	0.27603	0.27673	0.999995	150	0	-0.063231	0.72397	0.72534	0.949555	675	0	-0.063231	0.949555	enriched	-0.063231	0.72397	not_significant
NonTargeting_80	1	0.27638	0.27709	0.999995	151	0	-0.063147	0.72362	0.72506	0.949555	674	0	-0.063147	0.949555	enriched	-0.063147	0.72362	not_significant
NonTargeting_24	1	0.27707	0.27776	0.999995	152	0	-0.065522	0.72293	0.72433	0.949555	673	0	-0.065522	0.949555	enriched	-0.065522	0.72293	not_significant
NonTargeting_1	1	0.27776	0.27828	0.999995	153	0	-0.058978	0.72224	0.72355	0.949555	672	0	-0.058978	0.949555	enriched	-0.058978	0.72224	not_significant
NonTargeting_259	1	0.27845	0.27905	0.999995	154	0	-0.057564	0.72155	0.72259	0.949555	671	0	-0.057564	0.949555	enriched	-0.057564	0.72155	not_significant
NonTargeting_92	1	0.28086	0.28115	0.999995	155	0	-0.060479	0.71914	0.72017	0.949555	669	0	-0.060479	0.949555	enriched	-0.060479	0.71914	not_significant
NonTargeting_151	1	0.28224	0.28242	0.999995	156	0	-0.064517	0.71776	0.71893	0.949555	668	0	-0.064517	0.949555	enriched	-0.064517	0.71776	not_significant
NonTargeting_375	1	0.28259	0.28274	0.999995	157	0	-0.058708	0.71741	0.71858	0.949555	667	0	-0.058708	0.949555	enriched	-0.058708	0.71741	not_significant
NonTargeting_465	1	0.28293	0.28306	0.999995	158	0	-0.059047	0.71707	0.71821	0.949555	666	0	-0.059047	0.949555	enriched	-0.059047	0.71707	not_significant
