Gene	Num_sgRNAs	RRA_Score_Neg	PValue_Neg	FDR_Neg	Rank_Neg	neg|goodsgrna	LFC_Neg	RRA_Score_Pos	PValue_Pos	FDR_Pos	Rank_Pos	pos|goodsgrna	LFC_Pos	FDR	Direction	logFC	RRA_Score	Significance
FZD1	6	1.6995e-11	4.9219e-06	0.000201	1	6	-2.0407	1.0	1.0	0.999995	899	0	-2.0407	0.000201	depleted	-2.0407	1.6995e-11	significant
ADAM10	6	8.6929e-09	4.9219e-06	0.000201	2	6	-1.8499	1.0	1.0	0.999995	898	0	-1.8499	0.000201	depleted	-1.8499	8.6929e-09	significant
FZD7	6	5.438e-08	4.9219e-06	0.000201	3	6	-1.9823	1.0	1.0	0.999995	897	0	-1.9823	0.000201	depleted	-1.9823	5.438e-08	significant
PSEN1	6	9.9773e-08	4.9219e-06	0.000201	4	6	-1.7924	1.0	1.0	0.999995	896	0	-1.7924	0.000201	depleted	-1.7924	9.9773e-08	significant
HEY1	6	1.3036e-07	4.9219e-06	0.000201	5	6	-1.6232	1.0	1.0	0.999995	895	0	-1.6232	0.000201	depleted	-1.6232	1.3036e-07	significant
APC	6	1.3812e-07	4.9219e-06	0.000201	6	6	-1.8098	1.0	1.0	0.999995	894	0	-1.8098	0.000201	depleted	-1.8098	1.3812e-07	significant
NOTCH3	6	1.8295e-07	4.9219e-06	0.000201	7	6	-1.7154	1.0	1.0	0.999995	893	0	-1.7154	0.000201	depleted	-1.7154	1.8295e-07	significant
RBPJ	6	1.9323e-07	4.9219e-06	0.000201	8	6	-1.7215	1.0	1.0	0.999995	892	0	-1.7215	0.000201	depleted	-1.7215	1.9323e-07	significant
TGFBR1	6	3.5043e-07	4.9219e-06	0.000201	9	6	-1.7123	1.0	1.0	0.999995	891	0	-1.7123	0.000201	depleted	-1.7123	3.5043e-07	significant
TCF7	6	3.8852e-07	4.9219e-06	0.000201	10	6	-1.7221	1.0	1.0	0.999995	890	0	-1.7221	0.000201	depleted	-1.7221	3.8852e-07	significant
SMAD2	6	5.5003e-07	4.9219e-06	0.000201	11	6	-1.7638	1.0	1.0	0.999995	889	0	-1.7638	0.000201	depleted	-1.7638	5.5003e-07	significant
DVL2	6	6.0674e-07	4.9219e-06	0.000201	12	6	-1.7618	1.0	1.0	0.999995	885	0	-1.7618	0.000201	depleted	-1.7618	6.0674e-07	significant
BMPR2	6	6.4412e-07	4.9219e-06	0.000201	13	6	-1.7478	1.0	1.0	0.999995	888	0	-1.7478	0.000201	depleted	-1.7478	6.4412e-07	significant
SMAD3	6	7.1923e-07	4.9219e-06	0.000201	14	6	-1.7186	1.0	1.0	0.999995	887	0	-1.7186	0.000201	depleted	-1.7186	7.1923e-07	significant
GSK3B	6	7.3509e-07	4.9219e-06	0.000201	15	6	-1.6916	1.0	1.0	0.999995	886	0	-1.6916	0.000201	depleted	-1.6916	7.3509e-07	significant
DLL1	6	8.1886e-07	4.9219e-06	0.000201	16	6	-1.6869	1.0	1.0	0.999995	884	0	-1.6869	0.000201	depleted	-1.6869	8.1886e-07	significant
SMAD4	6	9.6936e-07	4.9219e-06	0.000201	17	6	-1.7253	1.0	1.0	0.999995	883	0	-1.7253	0.000201	depleted	-1.7253	9.6936e-07	significant
TGFBR2	6	9.897e-07	4.9219e-06	0.000201	18	6	-1.6445	1.0	1.0	0.999995	882	0	-1.6445	0.000201	depleted	-1.6445	9.897e-07	significant
NOTCH2	6	1.2134e-06	4.9219e-06	0.000201	19	6	-1.61	1.0	1.0	0.999995	881	0	-1.61	0.000201	depleted	-1.61	1.2134e-06	significant
PSMA1	6	1.5657e-06	4.9219e-06	0.000201	20	6	-1.4516	1.0	1.0	0.999995	880	0	-1.4516	0.000201	depleted	-1.4516	1.5657e-06	significant
CTNNB1	6	1.5919e-06	4.9219e-06	0.000201	21	6	-1.8063	1.0	1.0	0.999995	878	0	-1.8063	0.000201	depleted	-1.8063	1.5919e-06	significant
JAG1	6	1.8909e-06	4.9219e-06	0.000201	22	6	-1.681	1.0	1.0	0.999995	879	0	-1.681	0.000201	depleted	-1.681	1.8909e-06	significant
DVL1	6	3.8783e-06	1.4766e-05	0.000531	23	6	-1.7045	1.0	1.0	0.999995	877	0	-1.7045	0.000531	depleted	-1.7045	3.8783e-06	significant
AXIN1	6	3.9427e-06	1.4766e-05	0.000531	24	6	-1.7058	1.0	1.0	0.999995	876	0	-1.7058	0.000531	depleted	-1.7058	3.9427e-06	significant
LOR	6	5.4324e-06	1.4766e-05	0.000531	25	6	-1.4705	0.99999	1.0	0.999995	875	0	-1.4705	0.000531	depleted	-1.4705	5.4324e-06	significant
BMPR1A	6	7.812e-06	2.4609e-05	0.000819	26	6	-1.6045	0.99999	1.0	0.999995	874	0	-1.6045	0.000819	depleted	-1.6045	7.812e-06	significant
ACVR1	6	9.1623e-06	2.4609e-05	0.000819	27	6	-1.5695	0.99999	1.0	0.999995	873	0	-1.5695	0.000819	depleted	-1.5695	9.1623e-06	significant
LEF1	6	1.0315e-05	3.4453e-05	0.001106	28	6	-1.8449	0.99997	0.99996	0.999995	857	0	-1.8449	0.001106	depleted	-1.8449	1.0315e-05	significant
ACTG1	6	1.1003e-05	4.4297e-05	0.001327	29	6	-1.3393	0.99999	0.99999	0.999995	872	0	-1.3393	0.001327	depleted	-1.3393	1.1003e-05	significant
KRT17	6	1.1789e-05	4.4297e-05	0.001327	30	6	-1.5455	0.99999	0.99999	0.999995	871	0	-1.5455	0.001327	depleted	-1.5455	1.1789e-05	significant
IRF6	6	1.2967e-05	5.4141e-05	0.001521	31	6	-1.3863	0.99999	0.99999	0.999995	870	0	-1.3863	0.001521	depleted	-1.3863	1.2967e-05	significant
KRT1	6	1.4053e-05	5.4141e-05	0.001521	32	6	-1.3093	0.99999	0.99999	0.999995	869	0	-1.3093	0.001521	depleted	-1.3093	1.4053e-05	significant
HES1	6	1.5619e-05	6.3985e-05	0.001692	33	6	-1.7744	0.99998	0.99999	0.999995	868	0	-1.7744	0.001692	depleted	-1.7744	1.5619e-05	significant
